stop_id,stop_name,stop_lat,stop_lon
"17204","Wallan Railway Station (Wallan)","-37.4168610028693","145.005372256037"
"19980","Melton Railway Station (Melton South)","-37.7032933463858","144.572524145218"
"19981","Rockbank Railway Station (Rockbank)","-37.7292612709136","144.650631483984"
"19982","Deer Park Railway Station (Deer Park)","-37.7777637471456","144.772303608804"
"19998","Sunbury Railway Station (Sunbury)","-37.5792063872414","144.72816450831"
"20020","Ardeer Railway Station (Ardeer)","-37.7830652929363","144.802188066669"
"20029","Craigieburn Railway Station (Craigieburn)","-37.6019247988331","144.943306014347"
"20043","Southern Cross Railway Station (Melbourne City)","-37.8183342913422","144.952524867532"
"20287","Albury Railway Station (Albury (NSW))","-36.0842616098673","146.924515439062"
"20288","Ararat Railway Station (Ararat)","-37.2822048500311","142.936913700811"
"20289","Avenel Railway Station (Avenel)","-36.893647783728","145.229514978959"
"20290","Bacchus Marsh Railway Station (Maddingley)","-37.6875782110303","144.436785160486"
"20291","Bairnsdale Railway Station (Bairnsdale)","-37.8287204273518","147.62761375413"
"20292","Ballan Railway Station (Ballan)","-37.6042995115262","144.225448027583"
"20293","Ballarat Railway Station (Ballarat Central)","-37.5587914823897","143.859457427766"
"20294","Beaufort Railway Station (Beaufort)","-37.4278749703298","143.38223365924"
"20295","Benalla Railway Station (Benalla)","-36.5445503105021","145.98391505369"
"20296","Bendigo Railway Station (Bendigo)","-36.7656697308233","144.283008928886"
"20297","Birregurra Railway Station (Birregurra)","-38.3288078105881","143.783625214537"
"20298","Broadford Railway Station (Broadford)","-37.2072004909244","145.043007902139"
"20299","Bunyip Railway Station (Bunyip)","-38.0991077095814","145.7207574905"
"20300","Camperdown Railway Station (Camperdown)","-38.2289009105233","143.150927797287"
"20301","Castlemaine Railway Station (Castlemaine)","-37.0628374463184","144.213799025491"
"20302","Chiltern Railway Station (Chiltern)","-36.1556366325643","146.611374754964"
"20303","Clarkefield Railway Station (Clarkefield)","-37.4834976919689","144.745372643394"
"20304","Colac Railway Station (Colac)","-38.3433779184354","143.586653051255"
"20305","Corio Railway Station (Corio)","-38.0728312611647","144.37976841879"
"20306","Dingee Railway Station (Dingee)","-36.3692329083013","144.231120340329"
"20307","Donnybrook Railway Station (Donnybrook)","-37.5425895208628","144.969860118554"
